year,age,population,sex
2004,0,208263,men
2004,0,197084,women
2004,1,199124,men
2004,1,186965,women
2004,2,190979,men
2004,2,179999,women
2004,3,196416,men
2004,3,185434,women
2004,4,198398,men
2004,4,188220,women
2004,5,209706,men
2004,5,200882,women
2004,6,219487,men
2004,6,208905,women
2004,7,237154,men
2004,7,225572,women
2004,8,246357,men
2004,8,234412,women
2004,9,256497,men
2004,9,243634,women
2004,10,271428,men
2004,10,258466,women
2004,11,292600,men
2004,11,278266,women
2004,12,314109,men
2004,12,298295,women
2004,13,330399,men
2004,13,313882,women
2004,14,345912,men
2004,14,329456,women
2004,15,368256,men
2004,15,351498,women
2004,16,381841,men
2004,16,363789,women
2004,17,404562,men
2004,17,387068,women
2004,18,392771,men
2004,18,376976,women
2004,19,402400,men
2004,19,385886,women
2004,20,410330,men
2004,20,392490,women
2004,21,375915,men
2004,21,357234,women
2004,22,361177,men
2004,22,350130,women
2004,23,368816,men
2004,23,358352,women
2004,24,349258,men
2004,24,339803,women
2004,25,345601,men
2004,25,339938,women
2004,26,333790,men
2004,26,330936,women
2004,27,350962,men
2004,27,348360,women
2004,28,342801,men
2004,28,343982,women
2004,29,333851,men
2004,29,336003,women
2004,30,324788,men
2004,30,327864,women
2004,31,333629,men
2004,31,340227,women
2004,32,331285,men
2004,32,336367,women
2004,33,328380,men
2004,33,334306,women
2004,34,301726,men
2004,34,310714,women
2004,35,306763,men
2004,35,317028,women
2004,36,302238,men
2004,36,315267,women
2004,37,311030,men
2004,37,326776,women
2004,38,307179,men
2004,38,326123,women
2004,39,321179,men
2004,39,342868,women
2004,40,341443,men
2004,40,368636,women
2004,41,350055,men
2004,41,380227,women
2004,42,362809,men
2004,42,394693,women
2004,43,375856,men
2004,43,410632,women
2004,44,357745,men
2004,44,396841,women
2004,45,354444,men
2004,45,395422,women
2004,46,339976,men
2004,46,382533,women
2004,47,335886,men
2004,47,383480,women
2004,48,313609,men
2004,48,361572,women
2004,49,321816,men
2004,49,374926,women
2004,50,292653,men
2004,50,345168,women
2004,51,305686,men
2004,51,363020,women
2004,52,304490,men
2004,52,362341,women
2004,53,299477,men
2004,53,361069,women
2004,54,309125,men
2004,54,379585,women
2004,55,255360,men
2004,55,317018,women
2004,56,225431,men
2004,56,285329,women
2004,57,213658,men
2004,57,278933,women
2004,58,137588,men
2004,58,186112,women
2004,59,160252,men
2004,59,218937,women
2004,60,142367,men
2004,60,197881,women
2004,61,183171,men
2004,61,258055,women
2004,62,237561,men
2004,62,338412,women
2004,63,242291,men
2004,63,350689,women
2004,64,256956,men
2004,64,384751,women
2004,65,265819,men
2004,65,403429,women
2004,66,274695,men
2004,66,413535,women
2004,67,219160,men
2004,67,333646,women
2004,68,181880,men
2004,68,276796,women
2004,69,134068,men
2004,69,206733,women
2004,70,110493,men
2004,70,178571,women
2004,71,134229,men
2004,71,232299,women
2004,72,137578,men
2004,72,236598,women
2004,73,158920,men
2004,73,288470,women
2004,74,135958,men
2004,74,260090,women
2004,75,134590,men
2004,75,270842,women
2004,76,118758,men
2004,76,246746,women
2004,77,97061,men
2004,77,234761,women
2004,78,80159,men
2004,78,213403,women
2004,79,65957,men
2004,79,194286,women
2004,80 і старше,250422,men
2004,80 і старше,879346,women
2004,Вік невідомий,NA,men
2004,Вік невідомий,NA,women
2005,0,217975,men
2005,0,205946,women
2005,1,207607,men
2005,1,196618,women
2005,2,198857,men
2005,2,186759,women
2005,3,190804,men
2005,3,179860,women
2005,4,196262,men
2005,4,185319,women
2005,5,198239,men
2005,5,188080,women
2005,6,209547,men
2005,6,200738,women
2005,7,219375,men
2005,7,208777,women
2005,8,236974,men
2005,8,225469,women
2005,9,246208,men
2005,9,234310,women
2005,10,256315,men
2005,10,243510,women
2005,11,271273,men
2005,11,258333,women
2005,12,292444,men
2005,12,278185,women
2005,13,313925,men
2005,13,298185,women
2005,14,330147,men
2005,14,313761,women
2005,15,345705,men
2005,15,329292,women
2005,16,367954,men
2005,16,351294,women
2005,17,381496,men
2005,17,363635,women
2005,18,404256,men
2005,18,386930,women
2005,19,392337,men
2005,19,376696,women
2005,20,401792,men
2005,20,385586,women
2005,21,409460,men
2005,21,392087,women
2005,22,375099,men
2005,22,356759,women
2005,23,360169,men
2005,23,349597,women
2005,24,367674,men
2005,24,357844,women
2005,25,347913,men
2005,25,339184,women
2005,26,344251,men
2005,26,339290,women
2005,27,332263,men
2005,27,330255,women
2005,28,349346,men
2005,28,347712,women
2005,29,341165,men
2005,29,343351,women
2005,30,332062,men
2005,30,335314,women
2005,31,323041,men
2005,31,327312,women
2005,32,331788,men
2005,32,339533,women
2005,33,329398,men
2005,33,335752,women
2005,34,326363,men
2005,34,333634,women
2005,35,299661,men
2005,35,310030,women
2005,36,304509,men
2005,36,316245,women
2005,37,299776,men
2005,37,314416,women
2005,38,308413,men
2005,38,325926,women
2005,39,304679,men
2005,39,325274,women
2005,40,317886,men
2005,40,341862,women
2005,41,337944,men
2005,41,367546,women
2005,42,346170,men
2005,42,379005,women
2005,43,358559,men
2005,43,393345,women
2005,44,371275,men
2005,44,409171,women
2005,45,352737,men
2005,45,395211,women
2005,46,349485,men
2005,46,393710,women
2005,47,334563,men
2005,47,380692,women
2005,48,330412,men
2005,48,381668,women
2005,49,308251,men
2005,49,359613,women
2005,50,315318,men
2005,50,372637,women
2005,51,286771,men
2005,51,343030,women
2005,52,299215,men
2005,52,360546,women
2005,53,297768,men
2005,53,359669,women
2005,54,292549,men
2005,54,358264,women
2005,55,301043,men
2005,55,376274,women
2005,56,248813,men
2005,56,314123,women
2005,57,219155,men
2005,57,282509,women
2005,58,207612,men
2005,58,275987,women
2005,59,133388,men
2005,59,183998,women
2005,60,154611,men
2005,60,216084,women
2005,61,137102,men
2005,61,195373,women
2005,62,176093,men
2005,62,254425,women
2005,63,228281,men
2005,63,333273,women
2005,64,232196,men
2005,64,344745,women
2005,65,245363,men
2005,65,377850,women
2005,66,253539,men
2005,66,395363,women
2005,67,261316,men
2005,67,404580,women
2005,68,207737,men
2005,68,325692,women
2005,69,171747,men
2005,69,269299,women
2005,70,125976,men
2005,70,200596,women
2005,71,103396,men
2005,71,172621,women
2005,72,125133,men
2005,72,224009,women
2005,73,127900,men
2005,73,227460,women
2005,74,147058,men
2005,74,276373,women
2005,75,124350,men
2005,75,247399,women
2005,76,122477,men
2005,76,256208,women
2005,77,107695,men
2005,77,232157,women
2005,78,87355,men
2005,78,219293,women
2005,79,71556,men
2005,79,197753,women
2005,80 і старше,267676,men
2005,80 і старше,930258,women
2005,Вік невідомий,NA,men
2005,Вік невідомий,NA,women
2006,0,217579,men
2006,0,204985,women
2006,1,217384,men
2006,1,205498,women
2006,2,207349,men
2006,2,196448,women
2006,3,198729,men
2006,3,186648,women
2006,4,190661,men
2006,4,179803,women
2006,5,196148,men
2006,5,185232,women
2006,6,198150,men
2006,6,187979,women
2006,7,209467,men
2006,7,200656,women
2006,8,219258,men
2006,8,208712,women
2006,9,236845,men
2006,9,225431,women
2006,10,246116,men
2006,10,234228,women
2006,11,256226,men
2006,11,243402,women
2006,12,271164,men
2006,12,258293,women
2006,13,292269,men
2006,13,278099,women
2006,14,313809,men
2006,14,298114,women
2006,15,329943,men
2006,15,313663,women
2006,16,345527,men
2006,16,329183,women
2006,17,367728,men
2006,17,351243,women
2006,18,381262,men
2006,18,363533,women
2006,19,403894,men
2006,19,386773,women
2006,20,391765,men
2006,20,376527,women
2006,21,401153,men
2006,21,385337,women
2006,22,408616,men
2006,22,391697,women
2006,23,374221,men
2006,23,356320,women
2006,24,359114,men
2006,24,349191,women
2006,25,366454,men
2006,25,357336,women
2006,26,346591,men
2006,26,338613,women
2006,27,342793,men
2006,27,338784,women
2006,28,330769,men
2006,28,329753,women
2006,29,347749,men
2006,29,347144,women
2006,30,339368,men
2006,30,342719,women
2006,31,330267,men
2006,31,334687,women
2006,32,321167,men
2006,32,326739,women
2006,33,329672,men
2006,33,338819,women
2006,34,327443,men
2006,34,335139,women
2006,35,324033,men
2006,35,332870,women
2006,36,297459,men
2006,36,309386,women
2006,37,302153,men
2006,37,315475,women
2006,38,297262,men
2006,38,313585,women
2006,39,305657,men
2006,39,325094,women
2006,40,301459,men
2006,40,324332,women
2006,41,314552,men
2006,41,340914,women
2006,42,334191,men
2006,42,366383,women
2006,43,342054,men
2006,43,377686,women
2006,44,354247,men
2006,44,392010,women
2006,45,366020,men
2006,45,407570,women
2006,46,347682,men
2006,46,393572,women
2006,47,344094,men
2006,47,391948,women
2006,48,329036,men
2006,48,378938,women
2006,49,324642,men
2006,49,379768,women
2006,50,301879,men
2006,50,357388,women
2006,51,308916,men
2006,51,370353,women
2006,52,280428,men
2006,52,340847,women
2006,53,292365,men
2006,53,358020,women
2006,54,290794,men
2006,54,356897,women
2006,55,284976,men
2006,55,355307,women
2006,56,292758,men
2006,56,372621,women
2006,57,242140,men
2006,57,310852,women
2006,58,212871,men
2006,58,279493,women
2006,59,201326,men
2006,59,272747,women
2006,60,128679,men
2006,60,181682,women
2006,61,148499,men
2006,61,213074,women
2006,62,131715,men
2006,62,192476,women
2006,63,168580,men
2006,63,250445,women
2006,64,218641,men
2006,64,327803,women
2006,65,221796,men
2006,65,338630,women
2006,66,233732,men
2006,66,370506,women
2006,67,240636,men
2006,67,386906,women
2006,68,247300,men
2006,68,394850,women
2006,69,196196,men
2006,69,317065,women
2006,70,161314,men
2006,70,261213,women
2006,71,117689,men
2006,71,193958,women
2006,72,96129,men
2006,72,166327,women
2006,73,115989,men
2006,73,215034,women
2006,74,118155,men
2006,74,217560,women
2006,75,134962,men
2006,75,263387,women
2006,76,112926,men
2006,76,233931,women
2006,77,110515,men
2006,77,240646,women
2006,78,96615,men
2006,78,216815,women
2006,79,77771,men
2006,79,203101,women
2006,80 і старше,287184,men
2006,80 і старше,978310,women
2006,Вік невідомий,NA,men
2006,Вік невідомий,NA,women
2007,0,234110,men
2007,0,222616,women
2007,1,217030,men
2007,1,204542,women
2007,2,217220,men
2007,2,205370,women
2007,3,207221,men
2007,3,196376,women
2007,4,198636,men
2007,4,186589,women
2007,5,190580,men
2007,5,179729,women
2007,6,196068,men
2007,6,185166,women
2007,7,198055,men
2007,7,187915,women
2007,8,209398,men
2007,8,200626,women
2007,9,219169,men
2007,9,208669,women
2007,10,236773,men
2007,10,225390,women
2007,11,246055,men
2007,11,234191,women
2007,12,256145,men
2007,12,243322,women
2007,13,271065,men
2007,13,258226,women
2007,14,292143,men
2007,14,278044,women
2007,15,313624,men
2007,15,298007,women
2007,16,329802,men
2007,16,313591,women
2007,17,345389,men
2007,17,329214,women
2007,18,367741,men
2007,18,351291,women
2007,19,381214,men
2007,19,363550,women
2007,20,403751,men
2007,20,386684,women
2007,21,391485,men
2007,21,376437,women
2007,22,400733,men
2007,22,385126,women
2007,23,408015,men
2007,23,391441,women
2007,24,373616,men
2007,24,356062,women
2007,25,358246,men
2007,25,348870,women
2007,26,365483,men
2007,26,356968,women
2007,27,345387,men
2007,27,338270,women
2007,28,341520,men
2007,28,338252,women
2007,29,329366,men
2007,29,329289,women
2007,30,346061,men
2007,30,346595,women
2007,31,337704,men
2007,31,342130,women
2007,32,328560,men
2007,32,334133,women
2007,33,319305,men
2007,33,326169,women
2007,34,327792,men
2007,34,338180,women
2007,35,325333,men
2007,35,334424,women
2007,36,321977,men
2007,36,332149,women
2007,37,295363,men
2007,37,308700,women
2007,38,299974,men
2007,38,314721,women
2007,39,294945,men
2007,39,312845,women
2007,40,302700,men
2007,40,324206,women
2007,41,298696,men
2007,41,323491,women
2007,42,311328,men
2007,42,339945,women
2007,43,330557,men
2007,43,365201,women
2007,44,338227,men
2007,44,376472,women
2007,45,349753,men
2007,45,390571,women
2007,46,361297,men
2007,46,406083,women
2007,47,342790,men
2007,47,391833,women
2007,48,338921,men
2007,48,390283,women
2007,49,323676,men
2007,49,377214,women
2007,50,318639,men
2007,50,377867,women
2007,51,296351,men
2007,51,355388,women
2007,52,302774,men
2007,52,368123,women
2007,53,274555,men
2007,53,338724,women
2007,54,285948,men
2007,54,355575,women
2007,55,283785,men
2007,55,354108,women
2007,56,277998,men
2007,56,352197,women
2007,57,285041,men
2007,57,369121,women
2007,58,235452,men
2007,58,307891,women
2007,59,206696,men
2007,59,276530,women
2007,60,194916,men
2007,60,269535,women
2007,61,124158,men
2007,61,179491,women
2007,62,142889,men
2007,62,210081,women
2007,63,126373,men
2007,63,189492,women
2007,64,161511,men
2007,64,246257,women
2007,65,209545,men
2007,65,322285,women
2007,66,211809,men
2007,66,332168,women
2007,67,222386,men
2007,67,362831,women
2007,68,227967,men
2007,68,378046,women
2007,69,233699,men
2007,69,384894,women
2007,70,184848,men
2007,70,307741,women
2007,71,151097,men
2007,71,252742,women
2007,72,109823,men
2007,72,186987,women
2007,73,89100,men
2007,73,159842,women
2007,74,106914,men
2007,74,205671,women
2007,75,108660,men
2007,75,207164,women
2007,76,123539,men
2007,76,249873,women
2007,77,102039,men
2007,77,219781,women
2007,78,99248,men
2007,78,224997,women
2007,79,86204,men
2007,79,201054,women
2007,80 і старше,310717,men
2007,80 і старше,1029387,women
2007,Вік невідомий,NA,men
2007,Вік невідомий,NA,women
2008,0,240718,men
2008,0,227641,women
2008,1,233499,men
2008,1,222135,women
2008,2,216802,men
2008,2,204352,women
2008,3,217094,men
2008,3,205280,women
2008,4,207108,men
2008,4,196317,women
2008,5,198521,men
2008,5,186528,women
2008,6,190505,men
2008,6,179651,women
2008,7,195996,men
2008,7,185146,women
2008,8,197945,men
2008,8,187852,women
2008,9,209301,men
2008,9,200550,women
2008,10,219053,men
2008,10,208594,women
2008,11,236681,men
2008,11,225359,women
2008,12,245976,men
2008,12,234117,women
2008,13,256050,men
2008,13,243268,women
2008,14,270895,men
2008,14,258157,women
2008,15,291958,men
2008,15,277914,women
2008,16,313459,men
2008,16,297925,women
2008,17,329736,men
2008,17,313604,women
2008,18,345507,men
2008,18,329277,women
2008,19,367885,men
2008,19,351268,women
2008,20,380988,men
2008,20,363454,women
2008,21,403371,men
2008,21,386493,women
2008,22,390903,men
2008,22,376227,women
2008,23,400080,men
2008,23,384838,women
2008,24,407146,men
2008,24,391037,women
2008,25,372624,men
2008,25,355672,women
2008,26,357352,men
2008,26,348506,women
2008,27,364315,men
2008,27,356487,women
2008,28,343986,men
2008,28,337794,women
2008,29,340018,men
2008,29,337708,women
2008,30,327655,men
2008,30,328740,women
2008,31,344455,men
2008,31,345935,women
2008,32,335710,men
2008,32,341417,women
2008,33,326519,men
2008,33,333520,women
2008,34,317336,men
2008,34,325521,women
2008,35,325596,men
2008,35,337412,women
2008,36,323144,men
2008,36,333726,women
2008,37,319619,men
2008,37,331439,women
2008,38,293124,men
2008,38,307906,women
2008,39,297518,men
2008,39,313867,women
2008,40,291936,men
2008,40,311804,women
2008,41,299775,men
2008,41,323255,women
2008,42,295551,men
2008,42,322493,women
2008,43,307791,men
2008,43,338810,women
2008,44,326641,men
2008,44,363933,women
2008,45,333617,men
2008,45,375043,women
2008,46,345185,men
2008,46,388976,women
2008,47,356070,men
2008,47,404396,women
2008,48,337389,men
2008,48,390025,women
2008,49,333317,men
2008,49,388350,women
2008,50,317325,men
2008,50,375178,women
2008,51,312950,men
2008,51,375731,women
2008,52,290304,men
2008,52,353271,women
2008,53,296220,men
2008,53,365634,women
2008,54,268410,men
2008,54,336376,women
2008,55,278847,men
2008,55,352868,women
2008,56,276668,men
2008,56,351064,women
2008,57,270678,men
2008,57,349062,women
2008,58,276988,men
2008,58,365390,women
2008,59,228713,men
2008,59,304709,women
2008,60,199967,men
2008,60,273349,women
2008,61,187878,men
2008,61,266310,women
2008,62,119641,men
2008,62,177100,women
2008,63,137220,men
2008,63,206975,women
2008,64,121227,men
2008,64,186413,women
2008,65,154184,men
2008,65,242026,women
2008,66,200208,men
2008,66,316504,women
2008,67,201726,men
2008,67,325441,women
2008,68,210942,men
2008,68,354691,women
2008,69,215475,men
2008,69,368695,women
2008,70,220081,men
2008,70,374279,women
2008,71,173528,men
2008,71,298133,women
2008,72,141138,men
2008,72,243880,women
2008,73,101995,men
2008,73,179778,women
2008,74,82329,men
2008,74,152942,women
2008,75,98372,men
2008,75,196131,women
2008,76,99498,men
2008,76,196463,women
2008,77,112306,men
2008,77,235830,women
2008,78,91398,men
2008,78,205309,women
2008,79,88373,men
2008,79,209026,women
2008,80 і старше,339669,men
2008,80 і старше,1076354,women
2008,Вік невідомий,NA,men
2008,Вік невідомий,NA,women
2009,0,261138,men
2009,0,245204,women
2009,1,240239,men
2009,1,227251,women
2009,2,233320,men
2009,2,222023,women
2009,3,216723,men
2009,3,204291,women
2009,4,217048,men
2009,4,205238,women
2009,5,207060,men
2009,5,196298,women
2009,6,198498,men
2009,6,186482,women
2009,7,190483,men
2009,7,179616,women
2009,8,195951,men
2009,8,185102,women
2009,9,197910,men
2009,9,187829,women
2009,10,209246,men
2009,10,200512,women
2009,11,219022,men
2009,11,208561,women
2009,12,236647,men
2009,12,225326,women
2009,13,245907,men
2009,13,234075,women
2009,14,255970,men
2009,14,243218,women
2009,15,270771,men
2009,15,258063,women
2009,16,291869,men
2009,16,277922,women
2009,17,313484,men
2009,17,297980,women
2009,18,329868,men
2009,18,313700,women
2009,19,345414,men
2009,19,329343,women
2009,20,367696,men
2009,20,351174,women
2009,21,380421,men
2009,21,363306,women
2009,22,402748,men
2009,22,386261,women
2009,23,390167,men
2009,23,376002,women
2009,24,399171,men
2009,24,384548,women
2009,25,406087,men
2009,25,390658,women
2009,26,371541,men
2009,26,355315,women
2009,27,356152,men
2009,27,348083,women
2009,28,362965,men
2009,28,355992,women
2009,29,342512,men
2009,29,337282,women
2009,30,338302,men
2009,30,337118,women
2009,31,325941,men
2009,31,328136,women
2009,32,342498,men
2009,32,345266,women
2009,33,333578,men
2009,33,340636,women
2009,34,324286,men
2009,34,332859,women
2009,35,315007,men
2009,35,324760,women
2009,36,323346,men
2009,36,336640,women
2009,37,320724,men
2009,37,332936,women
2009,38,317153,men
2009,38,330585,women
2009,39,290627,men
2009,39,307045,women
2009,40,294604,men
2009,40,312946,women
2009,41,289015,men
2009,41,310894,women
2009,42,296643,men
2009,42,322177,women
2009,43,292093,men
2009,43,321400,women
2009,44,304116,men
2009,44,337616,women
2009,45,322371,men
2009,45,362581,women
2009,46,329125,men
2009,46,373547,women
2009,47,340224,men
2009,47,387342,women
2009,48,350740,men
2009,48,402611,women
2009,49,332035,men
2009,49,388134,women
2009,50,327168,men
2009,50,386283,women
2009,51,311300,men
2009,51,373106,women
2009,52,306670,men
2009,52,373482,women
2009,53,284117,men
2009,53,351171,women
2009,54,289551,men
2009,54,363198,women
2009,55,261999,men
2009,55,333894,women
2009,56,271971,men
2009,56,349936,women
2009,57,269374,men
2009,57,347896,women
2009,58,263244,men
2009,58,345825,women
2009,59,268949,men
2009,59,361528,women
2009,60,221494,men
2009,60,301340,women
2009,61,193067,men
2009,61,270040,women
2009,62,181158,men
2009,62,262922,women
2009,63,115098,men
2009,63,174553,women
2009,64,131549,men
2009,64,203760,women
2009,65,115970,men
2009,65,183235,women
2009,66,147123,men
2009,66,237608,women
2009,67,191006,men
2009,67,310484,women
2009,68,191873,men
2009,68,318547,women
2009,69,199673,men
2009,69,346068,women
2009,70,203162,men
2009,70,358742,women
2009,71,206413,men
2009,71,362929,women
2009,72,162323,men
2009,72,288143,women
2009,73,131170,men
2009,73,234640,women
2009,74,94503,men
2009,74,172021,women
2009,75,75706,men
2009,75,145828,women
2009,76,90008,men
2009,76,186308,women
2009,77,90484,men
2009,77,185271,women
2009,78,101542,men
2009,78,221483,women
2009,79,81584,men
2009,79,190449,women
2009,80 і старше,367227,men
2009,80 і старше,1125853,women
2009,Вік невідомий,NA,men
2009,Вік невідомий,NA,women
2010,0,262597,men
2010,0,245947,women
2010,1,260723,men
2010,1,244938,women
2010,2,240097,men
2010,2,227149,women
2010,3,233259,men
2010,3,221974,women
2010,4,216676,men
2010,4,204230,women
2010,5,217009,men
2010,5,205209,women
2010,6,207010,men
2010,6,196298,women
2010,7,198442,men
2010,7,186465,women
2010,8,190440,men
2010,8,179582,women
2010,9,195910,men
2010,9,185094,women
2010,10,197860,men
2010,10,187794,women
2010,11,209214,men
2010,11,200479,women
2010,12,218977,men
2010,12,208490,women
2010,13,236588,men
2010,13,225284,women
2010,14,245807,men
2010,14,234018,women
2010,15,255861,men
2010,15,243168,women
2010,16,270710,men
2010,16,258045,women
2010,17,291807,men
2010,17,277975,women
2010,18,313419,men
2010,18,297996,women
2010,19,329649,men
2010,19,313673,women
2010,20,345022,men
2010,20,329277,women
2010,21,367163,men
2010,21,351038,women
2010,22,379818,men
2010,22,363145,women
2010,23,402037,men
2010,23,386098,women
2010,24,389456,men
2010,24,375761,women
2010,25,398324,men
2010,25,384282,women
2010,26,405079,men
2010,26,390373,women
2010,27,370536,men
2010,27,355010,women
2010,28,355053,men
2010,28,347710,women
2010,29,361814,men
2010,29,355547,women
2010,30,341131,men
2010,30,336756,women
2010,31,336872,men
2010,31,336573,women
2010,32,324375,men
2010,32,327550,women
2010,33,340843,men
2010,33,344686,women
2010,34,331881,men
2010,34,340039,women
2010,35,322411,men
2010,35,332233,women
2010,36,313290,men
2010,36,324095,women
2010,37,321350,men
2010,37,335965,women
2010,38,318746,men
2010,38,332217,women
2010,39,315135,men
2010,39,329898,women
2010,40,288582,men
2010,40,306336,women
2010,41,292320,men
2010,41,312085,women
2010,42,286721,men
2010,42,309991,women
2010,43,294074,men
2010,43,321304,women
2010,44,289401,men
2010,44,320454,women
2010,45,300964,men
2010,45,336463,women
2010,46,319019,men
2010,46,361302,women
2010,47,325506,men
2010,47,372183,women
2010,48,336143,men
2010,48,385909,women
2010,49,346272,men
2010,49,401020,women
2010,50,327278,men
2010,50,386313,women
2010,51,322286,men
2010,51,384399,women
2010,52,306220,men
2010,52,371174,women
2010,53,301349,men
2010,53,371348,women
2010,54,278978,men
2010,54,349145,women
2010,55,283576,men
2010,55,360845,women
2010,56,256419,men
2010,56,331385,women
2010,57,265684,men
2010,57,347184,women
2010,58,262783,men
2010,58,345012,women
2010,59,256666,men
2010,59,342610,women
2010,60,261177,men
2010,60,357751,women
2010,61,214581,men
2010,61,298035,women
2010,62,186702,men
2010,62,266854,women
2010,63,174830,men
2010,63,259514,women
2010,64,111001,men
2010,64,172130,women
2010,65,126064,men
2010,65,200403,women
2010,66,110976,men
2010,66,180019,women
2010,67,140355,men
2010,67,233091,women
2010,68,182156,men
2010,68,304231,women
2010,69,182465,men
2010,69,311326,women
2010,70,188631,men
2010,70,337232,women
2010,71,191133,men
2010,71,348467,women
2010,72,193344,men
2010,72,351191,women
2010,73,151783,men
2010,73,277696,women
2010,74,121778,men
2010,74,224844,women
2010,75,87196,men
2010,75,164368,women
2010,76,69439,men
2010,76,138549,women
2010,77,81976,men
2010,77,175975,women
2010,78,81965,men
2010,78,173906,women
2010,79,91499,men
2010,79,206655,women
2010,80 і старше,385384,men
2010,80 і старше,1154765,women
2010,Вік невідомий,NA,men
2010,Вік невідомий,NA,women
2011,0,254668,men
2011,0,239343,women
2011,1,262195,men
2011,1,245647,women
2011,2,260595,men
2011,2,244842,women
2011,3,240019,men
2011,3,227100,women
2011,4,233199,men
2011,4,221955,women
2011,5,216641,men
2011,5,204213,women
2011,6,216979,men
2011,6,205208,women
2011,7,206982,men
2011,7,196296,women
2011,8,198415,men
2011,8,186452,women
2011,9,190383,men
2011,9,179567,women
2011,10,195892,men
2011,10,185085,women
2011,11,197828,men
2011,11,187763,women
2011,12,209164,men
2011,12,200467,women
2011,13,218915,men
2011,13,208432,women
2011,14,236498,men
2011,14,225247,women
2011,15,245711,men
2011,15,233968,women
2011,16,255780,men
2011,16,243148,women
2011,17,270626,men
2011,17,258058,women
2011,18,291664,men
2011,18,277955,women
2011,19,313210,men
2011,19,297972,women
2011,20,329341,men
2011,20,313643,women
2011,21,344621,men
2011,21,329250,women
2011,22,366732,men
2011,22,350988,women
2011,23,379253,men
2011,23,363074,women
2011,24,401441,men
2011,24,386012,women
2011,25,388785,men
2011,25,375664,women
2011,26,397609,men
2011,26,384146,women
2011,27,404234,men
2011,27,390130,women
2011,28,369661,men
2011,28,354709,women
2011,29,354050,men
2011,29,347384,women
2011,30,360678,men
2011,30,355143,women
2011,31,339924,men
2011,31,336321,women
2011,32,335484,men
2011,32,336065,women
2011,33,322960,men
2011,33,327014,women
2011,34,339356,men
2011,34,344168,women
2011,35,330174,men
2011,35,339520,women
2011,36,320781,men
2011,36,331626,women
2011,37,311594,men
2011,37,323518,women
2011,38,319614,men
2011,38,335292,women
2011,39,316976,men
2011,39,331526,women
2011,40,313151,men
2011,40,329210,women
2011,41,286624,men
